DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.24,0.0,0.0
3,0.21,0.24,0.22
4,0.1,0.09,0.12
5,0.22,0.12,0.13
6,0.27,0.28,0.25
7,0.12,0.13,0.16
8,0.25,0.1,0.11
9,0.23,0.21,0.25
10,0.1,0.09,0.11
11,0.23,0.12,0.15
12,0.27,0.24,0.26
13,0.12,0.11,0.09
14,0.24,0.11,0.1
15,0.23,0.27,0.25
16,0.07,0.14,0.15
17,0.27,0.1,0.11
18,0.21,0.26,0.26
19,0.18,0.15,0.16
20,0.22,0.1,0.06
21,0.23,0.21,0.24
22,0.15,0.13,0.16
23,0.25,0.15,0.08
24,0.23,0.27,0.26
25,0.13,0.15,0.17
26,0.25,0.12,0.11
27,0.24,0.27,0.22
28,0.13,0.13,0.1
29,0.17,0.09,0.08
30,0.2,0.21,0.24
31,0.1,0.13,0.1
32,0.21,0.12,0.07
33,0.23,0.24,0.21
34,0.08,0.11,0.08
35,0.27,0.1,0.13
36,0.18,0.2,0.2
37,0.12,0.1,0.12
38,0.22,0.12,0.1
39,0.23,0.23,0.23
40,0.11,0.13,0.12
41,0.22,0.13,0.06
42,0.21,0.2,0.19
43,0.1,0.12,0.04
44,0.27,0.1,0.11
45,0.23,0.23,0.16
46,0.13,0.1,0.14
47,0.23,0.1,0.09
48,0.25,0.2,0.21
49,0.12,0.1,0.17
50,0.23,0.09,0.07
51,0.17,0.17,0.22
52,0.11,0.06,0.08
53,0.2,0.08,0.13
54,0.18,0.17,0.19
55,0.09,0.09,0.13
56,0.21,0.08,0.05
57,0.2,0.21,0.2
58,0.08,0.11,0.13
59,0.2,0.08,0.14
60,0.22,0.21,0.22
61,0.09,0.1,0.1
62,0.19,0.11,0.1
63,0.17,0.24,0.17
64,0.05,0.09,0.07
65,0.15,0.13,0.14
66,0.23,0.17,0.21
67,0.13,0.07,0.05
68,0.17,0.06,0.08
69,0.22,0.23,0.18
70,0.1,0.12,0.1
71,0.18,0.11,0.11
72,0.18,0.17,0.16
73,0.08,0.08,0.07
74,0.2,0.09,0.08
75,0.17,0.18,0.19
76,0.03,0.08,0.08
77,0.19,0.09,0.07
78,0.18,0.17,0.16
79,0.09,0.08,0.11
80,0.21,0.05,0.09
81,0.18,0.17,0.17
82,0.12,0.06,0.09
83,0.13,0.11,0.09
84,0.19,0.18,0.16
85,0.08,0.12,0.09
86,0.16,0.08,0.09
87,0.19,0.2,0.19
88,0.1,0.07,0.06
89,0.22,0.08,0.08
90,0.21,0.22,0.16
91,0.08,0.12,0.12
92,0.21,0.06,0.08
93,0.16,0.14,0.21
94,0.1,0.1,0.17
95,0.13,0.06,0.11
96,0.2,0.24,0.16
97,0.03,0.11,0.08
98,0.15,0.11,0.08
99,0.21,0.13,0.16
100,0.09,0.04,0.09
101,0.21,0.09,0.07
102,0.15,0.14,0.19
103,0.13,0.07,0.09
104,0.18,0.08,0.1
105,0.15,0.16,0.19
106,0.1,0.07,0.11
107,0.16,0.03,0.08
108,0.15,0.14,0.13
109,0.06,0.08,0.1
110,0.1,0.04,0.06
111,0.14,0.16,0.16
112,0.1,0.12,0.1
113,0.14,0.11,0.02
114,0.14,0.18,0.11
115,0.1,0.07,0.04
116,0.16,0.05,0.04
117,0.19,0.13,0.18
118,0.07,0.06,0.05
119,0.14,0.04,0.04
120,0.16,0.18,0.14
