SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-20,0.2467,0.1208,0.17
-19,0.2372,0.0986,0.1468
-18,0.2046,0.0695,0.1167
-17,0.166,0.0455,0.0881
-16,0.1418,0.029,0.0723
-15,0.1162,0.0197,0.0473
-14,0.105,0.0131,0.0298
-13,0.0671,0.0064,0.0171
-12,0.0465,0.0021,0.008
-11,0.027,8.0E-4,0.0028
-10.0,0.0161,0.0,0.0022
-9.5,0.015,0.0,0.0013
-9.0,0.0088,0.0,5.0E-4
-8.5,0.0065,0.0,0.0
-8.0,0.0023,0.0,5.0E-4
-7.5,0.003,0.0,0.0
-7.0,0.0024,0.0,0.0
-6.5,8.0E-4,0.0,0.0
-6.0,0.0012,0.0,0.0
-5.5,5.0E-4,0.0,0.0
-5.0,0.0,0.0,0.0
-4.5,0.0,0.0,0.0
-4.0,0.0,0.0,0.0
-3.5,0.0,0.0,0.0
-3.0,0.0,0.0,0.0
-2.9,0.0,0.0,0.0
-2.8,0.0,0.0,0.0
-2.7,0.0,0.0,0.0
-2.6,0.0,0.0,0.0
-2.5,0.0,0.0,0.0
-2.4,0.0,0.0,0.0
-2.3,0.0,0.0,0.0
-2.2,0.0,0.0,0.0
-2.1,0.0,0.0,0.0
-2.0,0.0,0.0,0.0
-1.9,0.0,0.0,0.0
-1.8,0.0,0.0,0.0
-1.7,0.0,0.0,0.0
-1.6,0.0,0.0,0.0
-1.5,0.0,0.0,0.0
-1.4,0.0,0.0,0.0
-1.3,0.0,0.0,0.0
-1.2,0.0,0.0,0.0
-1.1,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
-0.9,0.0,0.0,0.0
-0.8,0.0,0.0,0.0
-0.7,0.0,0.0,0.0
-0.6,0.0,0.0,0.0
-0.5,0.0,0.0,0.0
-0.4,0.0,0.0,0.0
-0.3,0.0,0.0,0.0
-0.2,0.0,0.0,0.0
-0.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.9,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.7,0.0,0.0,0.0
1.8,0.0,0.0,0.0
1.9,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0
2.2,0.0,0.0,0.0
2.3,0.0,0.0,0.0
2.4,0.0,0.0,0.0
2.5,0.0,0.0,0.0
2.6,0.0,0.0,0.0
2.7,0.0,0.0,0.0
2.8,0.0,0.0,0.0
2.9,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0
3.2,0.0,0.0,0.0
3.3,0.0,0.0,0.0
3.4,0.0,0.0,0.0
3.5,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.7,0.0,0.0,0.0
3.8,0.0,0.0,0.0
3.9,0.0,0.0,0.0
4.0,0.0,0.0,0.0
4.1,0.0,0.0,0.0
4.2,0.0,0.0,0.0
4.3,0.0,0.0,0.0
4.4,0.0,0.0,0.0
4.5,0.0,0.0,0.0
4.6,0.0,0.0,0.0
4.7,0.0,0.0,0.0
4.8,0.0,0.0,0.0
4.9,0.0,0.0,0.0
5.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0
6.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0
7.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0
8.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0
9.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0
10.0,0.0,0.0,0.0
