SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.45,0.47,0.37,0.37
-19,0.31,0.4,0.36,0.57
-18,0.42,0.45,0.4,0.31
-17,0.34,0.41,0.35,0.38
-16,0.42,0.26,0.29,0.3
-15,0.28,0.37,0.27,0.3
-14,0.33,0.38,0.46,0.36
-13,0.35,0.35,0.32,0.28
-12,0.22,0.34,0.24,0.31
-11,0.22,0.27,0.21,0.4
-10.0,0.1,0.23,0.22,0.3
-9.5,0.21,0.15,0.18,0.23
-9.0,0.29,0.21,0.17,0.36
-8.5,0.18,0.23,0.11,0.2
-8.0,0.14,0.23,0.18,0.07
-7.5,0.11,0.15,0.19,0.19
-7.0,0.15,0.09,0.16,0.07
-6.5,0.15,0.15,0.17,0.11
-6.0,0.18,0.1,0.11,0.17
-5.5,0.16,0.1,0.06,0.12
-5.0,0.2,0.1,0.15,0.09
-4.5,0.04,0.09,0.09,0.04
-4.0,0.06,0.06,0.05,0.06
-3.5,0.13,0.13,0.18,0.16
-3.0,0.02,0.06,0.07,0.09
-2.9,0.05,0.04,0.0,0.07
-2.8,0.12,0.03,0.02,0.04
-2.7,0.02,0.06,0.0,0.06
-2.6,0.08,0.05,0.09,0.04
-2.5,0.02,0.06,0.04,0.08
-2.4,0.01,0.02,0.06,0.1
-2.3,0.01,0.03,0.08,0.05
-2.2,0.01,0.05,0.07,0.0
-2.1,0.04,0.05,0.06,0.1
-2.0,0.0,0.0,0.07,0.06
-1.9,0.06,0.02,0.08,0.1
-1.8,0.0,0.0,0.02,0.03
-1.7,0.0,0.0,0.0,0.09
-1.6,0.01,0.05,0.11,0.02
-1.5,0.01,0.05,0.01,0.01
-1.4,0.01,0.03,0.02,0.03
-1.3,0.0,0.04,0.04,0.0
-1.2,0.01,0.0,0.06,0.02
-1.1,0.01,0.04,0.05,0.04
-1.0,0.0,0.03,0.01,0.02
-0.9,0.01,0.0,0.02,0.0
-0.8,0.01,0.03,0.0,0.04
-0.7,0.01,0.02,0.02,0.0
-0.6,0.0,0.0,0.06,0.0
-0.5,0.01,0.0,0.04,0.0
-0.4,0.0,0.02,0.0,0.0
-0.3,0.0,0.0,0.0,0.03
-0.2,0.0,0.03,0.0,0.0
-0.1,0.01,0.03,0.0,0.01
0.0,0.04,0.0,0.02,0.0
0.1,0.0,0.03,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.4,0.01,0.0,0.0,0.0
0.5,0.03,0.0,0.0,0.0
0.6,0.0,0.03,0.0,0.02
0.7,0.0,0.0,0.0,0.0
0.8,0.03,0.0,0.0,0.0
0.9,0.0,0.0,0.03,0.0
1.0,0.0,0.01,0.0,0.0
1.1,0.02,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.03,0.0
1.4,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0
1.9,0.0,0.02,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0
2.3,0.0,0.0,0.0,0.0
2.4,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0
2.9,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0
3.4,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0
3.8,0.0,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0
4.5,0.0,0.01,0.0,0.0
4.6,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0
4.8,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
