SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.3143,0.3112,0.311,0.3193
-18,0.2785,0.2684,0.2583,0.2642
-16,0.2138,0.2198,0.2303,0.2143
-14,0.1683,0.1735,0.1734,0.1761
-12,0.1056,0.1166,0.1115,0.1124
-10,0.0621,0.0648,0.0697,0.0644
-9,0.0431,0.0486,0.0478,0.0497
-8,0.0325,0.0346,0.0341,0.0337
-7,0.0199,0.0187,0.022,0.0212
-6,0.0122,0.0117,0.0112,0.0111
-5,0.0072,0.0056,0.0077,0.0059
-4,0.0031,0.0025,0.0023,0.0041
-3.0,0.0013,0.0012,0.0017,0.0014
-2.8,9.0E-4,0.0014,8.0E-4,3.0E-4
-2.6,6.0E-4,4.0E-4,6.0E-4,0.0011
-2.4,7.0E-4,3.0E-4,2.0E-4,0.0011
-2.2,2.0E-4,1.0E-4,0.0012,4.0E-4
-2.0,7.0E-4,4.0E-4,2.0E-4,2.0E-4
-1.8,8.0E-4,4.0E-4,0.0,1.0E-4
-1.6,2.0E-4,4.0E-4,0.0,2.0E-4
-1.4,2.0E-4,2.0E-4,2.0E-4,1.0E-4
-1.2,0.0,0.0,0.0,1.0E-4
-1.0,3.0E-4,1.0E-4,0.0,0.0
-0.8,0.0,0.0,0.0,0.0
-0.6,3.0E-4,0.0,0.0,0.0
-0.4,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0
2.4,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.4,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0
3.8,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0
4.6,0.0,0.0,0.0,0.0
4.8,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
