SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.406,0.4085,0.4071,0.4204
-18,0.3827,0.3844,0.3814,0.3969
-16,0.3515,0.3643,0.3625,0.365
-14,0.3361,0.3292,0.3207,0.3208
-12,0.2881,0.2951,0.2915,0.2872
-10,0.2422,0.2411,0.245,0.2397
-9,0.2188,0.2191,0.221,0.2188
-8,0.1895,0.1886,0.1897,0.1964
-7,0.1538,0.1602,0.1657,0.1736
-6,0.1291,0.131,0.1295,0.1302
-5,0.109,0.1073,0.0989,0.1065
-4,0.0774,0.0862,0.0863,0.0818
-3.0,0.0535,0.0601,0.0489,0.0572
-2.8,0.0528,0.057,0.0557,0.0475
-2.6,0.0415,0.0478,0.0506,0.0445
-2.4,0.0442,0.0494,0.0445,0.0478
-2.2,0.0411,0.0414,0.0396,0.0431
-2.0,0.0387,0.0354,0.0386,0.0343
-1.8,0.0322,0.0375,0.0295,0.0375
-1.6,0.0292,0.0335,0.0306,0.0332
-1.4,0.0275,0.0371,0.0293,0.0335
-1.2,0.0302,0.0246,0.027,0.0266
-1.0,0.0188,0.025,0.0227,0.0222
-0.8,0.0216,0.0236,0.0237,0.0172
-0.6,0.0189,0.0199,0.0182,0.0181
-0.4,0.0156,0.0138,0.0175,0.016
-0.2,0.0121,0.0134,0.0145,0.0124
0.0,0.0135,0.0131,0.0101,0.0129
0.2,0.0105,0.0129,0.0121,0.0076
0.4,0.0089,0.0089,0.0094,0.0125
0.6,0.0058,0.0084,0.0081,0.0092
0.8,0.0077,0.0066,0.008,0.0101
1.0,0.0072,0.0051,0.0061,0.0036
1.2,0.0057,0.0041,0.0074,0.0061
1.4,0.0033,0.0073,0.0045,0.0027
1.6,0.0034,0.0042,0.0032,0.0026
1.8,0.0022,0.0029,0.0023,0.0021
2.0,0.0024,0.0032,0.003,0.0024
2.2,0.0027,0.0018,0.0017,0.0017
2.4,0.001,8.0E-4,0.0021,0.0042
2.6,0.0023,0.0012,7.0E-4,0.0014
2.8,0.0024,4.0E-4,7.0E-4,9.0E-4
3.0,0.0012,0.0011,3.0E-4,7.0E-4
3.2,2.0E-4,2.0E-4,3.0E-4,0.0011
3.4,8.0E-4,3.0E-4,3.0E-4,1.0E-4
3.6,5.0E-4,3.0E-4,3.0E-4,2.0E-4
3.8,0.0,2.0E-4,6.0E-4,0.0
4.0,0.0,0.0,0.0,1.0E-4
4.2,1.0E-4,0.0,7.0E-4,2.0E-4
4.4,1.0E-4,0.0,3.0E-4,0.0
4.6,1.0E-4,0.0,5.0E-4,0.0
4.8,0.0,0.0,2.0E-4,2.0E-4
5.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
