SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.41023,0.438174,0.437691,0.430848
-18,0.389317,0.421528,0.42252,0.414917
-16,0.361858,0.401789,0.405146,0.394535
-14,0.327436,0.378017,0.381771,0.368277
-12,0.28748,0.351173,0.356778,0.340587
-10,0.240518,0.319233,0.329761,0.308028
-9,0.212601,0.302518,0.315606,0.291338
-8,0.187627,0.28353,0.30248,0.274359
-7,0.15926,0.266114,0.28955,0.257539
-6,0.131442,0.24777,0.277876,0.241299
-5,0.104307,0.228924,0.269006,0.226583
-4,0.079508,0.213517,0.261024,0.212654
-3.0,0.056945,0.196957,0.256454,0.201223
-2.8,0.05282,0.193458,0.255358,0.197917
-2.6,0.048573,0.190041,0.254733,0.196037
-2.4,0.045113,0.187945,0.2537,0.193777
-2.2,0.040618,0.185444,0.253196,0.191497
-2.0,0.038581,0.183496,0.253499,0.188884
-1.8,0.034758,0.179234,0.251922,0.187648
-1.6,0.031758,0.177166,0.252552,0.186085
-1.4,0.028291,0.174782,0.251784,0.183581
-1.2,0.025796,0.171623,0.251627,0.183002
-1.0,0.023298,0.169107,0.250993,0.181016
-0.8,0.0208,0.167341,0.250725,0.178943
-0.6,0.018591,0.164591,0.25096,0.177932
-0.4,0.016405,0.162564,0.250261,0.176405
-0.2,0.014673,0.160373,0.250116,0.174309
0.0,0.012636,0.158277,0.250676,0.173723
0.2,0.01118,0.156125,0.249519,0.171781
0.4,0.009591,0.153871,0.24986,0.170778
0.6,0.008389,0.152086,0.250706,0.169364
0.8,0.007175,0.150672,0.250319,0.168424
1.0,0.006,0.148995,0.250368,0.167093
1.2,0.005163,0.146454,0.250146,0.166602
1.4,0.004165,0.146217,0.25003,0.164974
1.6,0.003735,0.144114,0.249102,0.164172
1.8,0.002852,0.142509,0.249878,0.164164
2.0,0.002438,0.141349,0.250133,0.163396
2.2,0.001842,0.139442,0.250299,0.162452
2.4,0.001629,0.138857,0.249816,0.161202
2.6,0.00139,0.137282,0.250398,0.161191
2.8,9.55E-4,0.136152,0.250094,0.160791
3.0,8.67E-4,0.135131,0.249725,0.160096
3.2,6.02E-4,0.13398,0.24936,0.159782
3.4,4.45E-4,0.133323,0.250536,0.159336
3.6,3.5E-4,0.132259,0.248982,0.159085
3.8,2.67E-4,0.131719,0.250162,0.15909
4.0,1.81E-4,0.131313,0.250458,0.15964
4.2,1.62E-4,0.130549,0.250199,0.158598
4.4,1.09E-4,0.129582,0.25023,0.158218
4.6,4.3E-5,0.128759,0.250318,0.158288
4.8,5.4E-5,0.128605,0.250261,0.158958
5.0,4.8E-5,0.127871,0.249986,0.159175
5.5,1.5E-5,0.127271,0.249678,0.160288
6.0,1.0E-5,0.126223,0.249792,0.160988
6.5,0.0,0.125818,0.250044,0.162422
7.0,0.0,0.125819,0.249461,0.163376
7.5,0.0,0.125206,0.250174,0.165811
8.0,0.0,0.125044,0.250355,0.167985
8.5,0.0,0.125625,0.250527,0.169417
9.0,0.0,0.125025,0.249817,0.172493
9.5,0.0,0.124845,0.250058,0.174604
10.0,0.0,0.124888,0.25067,0.177927
