SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.3639,0.4082,0.4062,0.3995
-18,0.3349,0.3819,0.3816,0.3847
-16,0.2837,0.3558,0.3646,0.3533
-14,0.2381,0.3374,0.3197,0.3165
-12,0.1904,0.3131,0.3028,0.2883
-10,0.1407,0.2886,0.2873,0.2596
-9,0.115,0.2847,0.264,0.2355
-8,0.0902,0.2872,0.2662,0.2214
-7,0.0607,0.279,0.2532,0.2137
-6,0.0424,0.2757,0.2553,0.1956
-5,0.0293,0.2757,0.2484,0.1983
-4,0.0159,0.2859,0.264,0.1799
-3.0,0.0079,0.2903,0.2447,0.1864
-2.8,0.0076,0.2863,0.2494,0.1877
-2.6,0.0067,0.2803,0.2515,0.1795
-2.4,0.008,0.283,0.2408,0.178
-2.2,0.0054,0.2938,0.2446,0.1829
-2.0,0.0043,0.2942,0.2443,0.1807
-1.8,0.0044,0.2849,0.2455,0.1818
-1.6,0.005,0.2853,0.2444,0.1754
-1.4,0.0035,0.2931,0.2462,0.1804
-1.2,0.001,0.2894,0.2504,0.1786
-1.0,0.0013,0.2936,0.253,0.1762
-0.8,0.0014,0.2982,0.2442,0.1804
-0.6,0.0014,0.3,0.252,0.176
-0.4,8.0E-4,0.3035,0.2506,0.1771
-0.2,1.0E-4,0.2955,0.2494,0.1849
0.0,5.0E-4,0.3003,0.2544,0.1809
0.2,1.0E-4,0.2958,0.2481,0.1847
0.4,4.0E-4,0.2975,0.2516,0.1788
0.6,5.0E-4,0.298,0.2485,0.1786
0.8,2.0E-4,0.2934,0.245,0.1834
1.0,2.0E-4,0.3119,0.245,0.1819
1.2,0.0,0.3096,0.2497,0.1811
1.4,0.0,0.3005,0.2542,0.18
1.6,0.0,0.3075,0.2459,0.1849
1.8,0.0,0.295,0.2468,0.1829
2.0,0.0,0.3144,0.2525,0.1868
2.2,0.0,0.3215,0.2512,0.1833
2.4,0.0,0.3139,0.2555,0.1905
2.6,0.0,0.3114,0.2491,0.183
2.8,0.0,0.314,0.2559,0.1859
3.0,0.0,0.319,0.2552,0.1852
3.2,0.0,0.3199,0.2442,0.1905
3.4,0.0,0.3176,0.2522,0.1931
3.6,0.0,0.3257,0.248,0.1909
3.8,0.0,0.3209,0.2477,0.1863
4.0,0.0,0.3327,0.2497,0.201
4.2,0.0,0.3283,0.2489,0.1899
4.4,0.0,0.3261,0.2545,0.1913
4.6,0.0,0.3359,0.2537,0.194
4.8,0.0,0.3361,0.2519,0.1877
5.0,0.0,0.3325,0.2485,0.1949
5.5,0.0,0.3458,0.242,0.198
6.0,0.0,0.3494,0.2473,0.1997
6.5,0.0,0.3469,0.2472,0.1981
7.0,0.0,0.3556,0.2468,0.1961
7.5,0.0,0.3569,0.2465,0.2066
8.0,0.0,0.3732,0.2477,0.2042
8.5,0.0,0.367,0.2517,0.1968
9.0,0.0,0.3811,0.2434,0.2047
9.5,0.0,0.3834,0.2467,0.2129
10.0,0.0,0.3896,0.2591,0.2055
