SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.3251,0.3178,0.3874,0.4008
-18,0.2824,0.2739,0.3501,0.3564
-16,0.2264,0.2317,0.3232,0.3456
-14,0.19,0.1845,0.3021,0.3259
-12,0.1301,0.1135,0.2813,0.2918
-10,0.082,0.0595,0.2615,0.2805
-9,0.0518,0.05,0.2634,0.2759
-8,0.037,0.0308,0.2512,0.2757
-7,0.0193,0.0164,0.2524,0.2865
-6,0.013,0.0089,0.2513,0.2775
-5,0.0059,0.0023,0.2434,0.2839
-4,0.0034,0.0,0.2457,0.2897
-3.0,7.0E-4,6.0E-4,0.2512,0.2803
-2.8,7.0E-4,4.0E-4,0.247,0.2974
-2.6,4.0E-4,4.0E-4,0.2501,0.293
-2.4,0.0,0.0,0.256,0.2877
-2.2,0.0,0.0,0.2471,0.2988
-2.0,3.0E-4,3.0E-4,0.2513,0.2976
-1.8,2.0E-4,0.0,0.2463,0.2872
-1.6,3.0E-4,0.0,0.2527,0.291
-1.4,0.0,0.0,0.2511,0.296
-1.2,0.0,0.0,0.2524,0.2919
-1.0,0.0,0.0,0.2498,0.3019
-0.8,0.0,0.0,0.2536,0.3048
-0.6,0.0,0.0,0.2511,0.2987
-0.4,0.0,0.0,0.2495,0.3022
-0.2,0.0,0.0,0.2478,0.3012
0.0,0.0,0.0,0.2483,0.3121
0.2,0.0,0.0,0.2516,0.2975
0.4,0.0,0.0,0.25,0.3111
0.6,0.0,0.0,0.2491,0.3122
0.8,0.0,0.0,0.2481,0.3211
1.0,0.0,0.0,0.2515,0.3125
1.2,0.0,0.0,0.248,0.3148
1.4,0.0,0.0,0.2506,0.3173
1.6,0.0,0.0,0.2526,0.3187
1.8,0.0,0.0,0.2542,0.3123
2.0,0.0,0.0,0.2515,0.3216
2.2,0.0,0.0,0.2458,0.3294
2.4,0.0,0.0,0.249,0.3305
2.6,0.0,0.0,0.247,0.3278
2.8,0.0,0.0,0.2484,0.3314
3.0,0.0,0.0,0.2537,0.3235
3.2,0.0,0.0,0.251,0.3335
3.4,0.0,0.0,0.2572,0.3288
3.6,0.0,0.0,0.2431,0.3338
3.8,0.0,0.0,0.2525,0.3366
4.0,0.0,0.0,0.2458,0.338
4.2,0.0,0.0,0.2486,0.3391
4.4,0.0,0.0,0.2542,0.3402
4.6,0.0,0.0,0.2447,0.3452
4.8,0.0,0.0,0.2499,0.3473
5.0,0.0,0.0,0.2538,0.3465
5.5,0.0,0.0,0.2421,0.3472
6.0,0.0,0.0,0.2392,0.3625
6.5,0.0,0.0,0.248,0.3611
7.0,0.0,0.0,0.25,0.3708
7.5,0.0,0.0,0.2459,0.3801
8.0,0.0,0.0,0.2493,0.3828
8.5,0.0,0.0,0.2449,0.3817
9.0,0.0,0.0,0.2588,0.3971
9.5,0.0,0.0,0.2585,0.4158
10.0,0.0,0.0,0.2593,0.4057
