SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.42424244,0.5858586,0.56565654
-59,0.5151515,0.5151515,0.5050505
-58,0.4848485,0.53535354,0.53535354
-57,0.42424244,0.5151515,0.53535354
-56,0.4040404,0.5555556,0.44444445
-55,0.53535354,0.53535354,0.61616164
-54,0.5151515,0.46464646,0.46464646
-53,0.5252525,0.47474748,0.5252525
-52,0.42424244,0.4848485,0.5151515
-51,0.44444445,0.53535354,0.4949495
-50,0.5252525,0.4848485,0.5151515
-49,0.5555556,0.5252525,0.4949495
-48,0.53535354,0.5050505,0.43434343
-47,0.5050505,0.5252525,0.45454547
-46,0.46464646,0.4848485,0.3939394
-45,0.5151515,0.5050505,0.47474748
-44,0.4848485,0.5151515,0.53535354
-43,0.5050505,0.3939394,0.3838384
-42,0.41414142,0.41414142,0.45454547
-41,0.4949495,0.53535354,0.4949495
-40,0.45454547,0.5555556,0.47474748
-39,0.54545456,0.44444445,0.4949495
-38,0.4848485,0.4949495,0.43434343
-37,0.44444445,0.42424244,0.43434343
-36,0.43434343,0.4848485,0.3939394
-35,0.42424244,0.41414142,0.42424244
-34,0.47474748,0.43434343,0.46464646
-33,0.46464646,0.45454547,0.41414142
-32,0.44444445,0.4848485,0.3838384
-31,0.4949495,0.44444445,0.4040404
-30,0.42424244,0.34343433,0.32323232
-29,0.35353535,0.44444445,0.3838384
-28,0.5151515,0.41414142,0.43434343
-27,0.3939394,0.37373737,0.41414142
-26,0.41414142,0.3838384,0.44444445
-25,0.4040404,0.36363637,0.3131313
-24,0.34343433,0.3030303,0.41414142
-23,0.3838384,0.28282827,0.2929293
-22,0.46464646,0.32323232,0.22222222
-21,0.35353535,0.25252524,0.23232323
-20,0.21212122,0.16161616,0.22222222
-19,0.32323232,0.1919192,0.27272728
-18,0.1919192,0.2020202,0.22222222
-17,0.22222222,0.17171717,0.16161616
-16,0.3030303,0.1010101,0.1919192
-15,0.24242425,0.07070707,0.13131313
-14,0.15151516,0.07070707,0.05050505
-13,0.09090909,0.04040404,0.09090909
-12,0.11111111,0.02020202,0.02020202
-11,0.11111111,0.01010101,0.0
-10,0.08080808,0.01010101,0.0
-9,0.1010101,0.0,0.01010101
-8,0.04040404,0.0,0.0
-7,0.01010101,0.0,0.0
-6,0.02020202,0.0,0.0
-5,0.01010101,0.0,0.0
-4,0.01010101,0.0,0.0
-3,0.0,0.0,0.0
-2,0.0,0.0,0.0
-1,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
