SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.49687496,0.49663496,0.49646497
-59,0.500645,0.49679497,0.49770498
-58,0.49664497,0.49561495,0.498585
-57,0.498895,0.499575,0.49704498
-56,0.49780497,0.49506494,0.498675
-55,0.49825498,0.49598497,0.49824497
-54,0.49574494,0.49433494,0.49551496
-53,0.500165,0.499275,0.49615496
-52,0.49541494,0.49530494,0.49564496
-51,0.49424493,0.49557495,0.49613497
-50,0.49460495,0.49415493,0.49189493
-49,0.49505496,0.49374494,0.49370494
-48,0.4919649,0.49246493,0.48924488
-47,0.49175492,0.49054492,0.4898649
-46,0.49298492,0.48843488,0.49171492
-45,0.4903249,0.48874488,0.4906249
-44,0.49265492,0.48610488,0.4899049
-43,0.48922488,0.48158482,0.4884649
-42,0.4872749,0.48220482,0.48295483
-41,0.48784488,0.48125482,0.48371485
-40,0.48421484,0.4799848,0.48265484
-39,0.48198482,0.47460476,0.47779477
-38,0.4819948,0.47365475,0.47383475
-37,0.47669476,0.46782467,0.4700747
-36,0.47457474,0.46504465,0.4708147
-35,0.47406474,0.4623846,0.46677467
-34,0.4696547,0.45459455,0.4609046
-33,0.46562466,0.45236453,0.45586455
-32,0.4603646,0.44495445,0.45110452
-31,0.45472455,0.4400844,0.44387445
-30,0.4478745,0.43133432,0.43719438
-29,0.44426444,0.42191422,0.4306743
-28,0.43866438,0.41444415,0.4212042
-27,0.43270433,0.40347403,0.41198412
-26,0.42245424,0.39305392,0.402294
-25,0.41330412,0.37767377,0.3914439
-24,0.40307403,0.36440364,0.3787438
-23,0.38857388,0.34829348,0.36278364
-22,0.3809838,0.33048332,0.3480335
-21,0.36294362,0.31129313,0.33215332
-20,0.3485635,0.29335293,0.31186312
-19,0.33092332,0.26605266,0.29124293
-18,0.31375313,0.24562246,0.2703627
-17,0.29332292,0.22128221,0.24341244
-16,0.2704627,0.19405194,0.22064221
-15,0.24270242,0.16378164,0.19566196
-14,0.22223222,0.13807139,0.16705167
-13,0.19255193,0.1097811,0.1401314
-12,0.16411164,0.08421084,0.113031134
-11,0.13887139,0.061520614,0.08932089
-10,0.1100511,0.04189042,0.065430656
-9,0.084190845,0.025410254,0.04700047
-8,0.061280612,0.014290143,0.031300314
-7,0.043600436,0.006730067,0.019590195
-6,0.026450265,0.0029100291,0.011680117
-5,0.014710147,0.0010400104,0.0058500585
-4,0.0072700726,4.300043E-4,0.0025700256
-3,0.0035800359,3.00003E-5,9.200092E-4
-2,0.0010800108,0.0,3.00003E-4
-1,2.800028E-4,1.00001E-5,1.00001E-4
0,8.00008E-5,0.0,1.00001E-5
1,0.0,0.0,1.00001E-5
2,1.00001E-5,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
